part_name,part_price,partselect_number,brand,manufacturer_part_number,description,install_difficulty,install_time,availability,symptoms,product_types,replaceable_models,product_url
Lower Dishrack Wheel W10195416,33.48,PS3406971,Whirlpool,W10195416,"Lower Dishrack Wheel Specifications
This OEM gray Dishwasher Lower Dishrack Wheel Assembly is a plastic kit that allows the rack to slide in and out of the dishwasher easily. If it breaks or becomes damaged. sliding will feel difficult. This can happen due to normal wear and tear, and the part should be replaced if this occurs. Check your model number and user manual to make sure this part is correct. It attaches directly to the dishrack. To repair, open the dishwasher door and pull out the lower dishrack. Next, push the tab from both sides and it should pop out. To install the new wheel assembly, place it on the rack and make sure the caps overlap the wire from the inside before you clip it in place by pushing the wheel. It measures roughly 3x6 inches.",Very Easy,15 - 30 mins,In Stock,Not cleaning dishes properly; Door won’t close; Noisy; Door latch failure; Leaking; Will Not Start; Dishwasher,Dishwasher,W10195416V; W10195416VP,https://www.partselect.com/PS3406971-Whirlpool-W10195416-Lower-Dishrack-Wheel.htm?SourceCode=18
"Upper Rack Adjuster Kit - White Wheels, Left and Right Sides W10712395",52.29,PS10065979,Whirlpool,W10712395,"Upper Rack Adjuster Kit - White Wheels, Left and Right Sides Specifications
This authentic Dishwasher Upper Rack Adjuster Kit with white wheels is a kit made up of primarily plastic and metal components, which will require a screwdriver to install. This kit comes with all the necessary parts for a dishwasher rack adjuster. It fits onto the dishwasher rack and connects it to the track allowing it to slide in and out. If broken then the rack will no longer slide properly, and the part must be replaced. In many cases, our customers have reported the top rack of their dishwasher hanging down or sagging due to the adjuster kit, particularly if the wheels, have broken or failed. If you are having problems in this area, this kit will help get your dishwasher back up and running. Check your model number and user manual to see if this part is right for you. The parts for this kit come as a package and are not generally sold individually.",Really Easy,30 - 60 mins,In Stock,Door won’t close; Door latch failure; Not cleaning dishes properly; Noisy; Leaking; Will Not Start; Dishwasher,Dishwasher,AP5957560; W10250159; W10350375; W10712395VP,https://www.partselect.com/PS10065979-Whirlpool-W10712395-Upper-Rack-Adjuster-Kit-White-Wheels-Left-and-Right-Sides.htm?SourceCode=18
Dishwasher Upper Rack Adjuster WPW10546503,32.45,PS11756150,Whirlpool,WPW10546503,"Dishwasher Upper Rack Adjuster Specifications
This OEM Dishwasher Upper Rack Adjuster is a grayish-black, plastic part which will require a screwdriver to install. It fits onto the dishwasher rack and connects it to the track allowing it to slide in and out. If broken then the rack will no longer slide properly, and the part must be replaced. The installation has been rated as ""easy"" by customers. Before beginning any repair, you should unplug the dishwasher and wear gloves to protect your hands. Check your model number and user manual to see if this part is right for you! Your dishwasher should have a left and right upper rack adjuster, and both are the same part. These parts are sold individually, so if you are looking to replace both, you will need to order two parts.",Really Easy,30 - 60 mins,In Stock,Door won’t close; Door latch failure; Not cleaning dishes properly; Leaking; Will Not Start; Noisy; Dishwasher,Dishwasher,AP6022813; W10306646; W10418314; W10546502; W10546503; W10911100; WPW10546503VP,https://www.partselect.com/PS11756150-Whirlpool-WPW10546503-Dishwasher-Upper-Rack-Adjuster.htm?SourceCode=18
Dishwasher Rack Track Stop WP8565925,10.41,PS11746591,Whirlpool,WP8565925,"Dishwasher Rack Track Stop Specifications
The rack track stop on your dishwasher is designed to stop the dish rack at the appropriate place when opening and closing the rack. If your dishwasher is not cleaning your dishes properly, the rack stop may need to be replaced. The replacement part may differ slightly from the broken part, depending on the model. However, the different styles are interchangeable. This product is sold individually and comes in both a white and grey plastic version. Many of our customers found this repair to be very easy and takes less than 30 minutes to complete. Simply snap the old part out and snap the new part into place. You will not require any tools to complete the job. This is an authentic part approved by the manufacturer.",Really Easy,30 - 60 mins,In Stock,Door latch failure; Not cleaning dishes properly; Door won’t close; Noisy; Dishwasher,Dishwasher,AP6013365; 8270105; 8270106; 8524581; 8524582; 8562015; 8565920; 8565925; W10082860; W10082861; W10199682; W10508950; WP8565925VP; WPW10082861; WPW10082861VP; WPW10508950; WPW10508950VP,https://www.partselect.com/PS11746591-Whirlpool-WP8565925-Dishwasher-Rack-Track-Stop.htm?SourceCode=18
Lower Dishrack Wheel Assembly WPW10195417,46.02,PS11750057,Whirlpool,WPW10195417,"Lower Dishrack Wheel Assembly Specifications
This gray plastic lower dishrack roller is a part for your dishwasher. It attaches to the bottom of the lower dishrack, allowing it to move in and out smoothly. If the lower dishrack stops moving in and out easily or preventing you from being able to shut the dishwasher door, inspect the dishrack roller for damage. The assembly includes 2 rollers and the bracket that attaches to the dishrack (parts are not sold separately). This assembly is sold individually, so you will need 4 assemblies to replace them all in your appliance. For this easy repair, start by removing the lower dishrack from the appliance and set it on the counter. Use a screwdriver to pry off the old roller assembly from the lower tabs. Align the new part on the dishrack by snapping it in place.",Really Easy,Less than 15 mins,In Stock,Door won’t close; Door latch failure; Not cleaning dishes properly; Dishwasher,Dishwasher,AP6016764; W10195417; WPW10195417VP,https://www.partselect.com/PS11750057-Whirlpool-WPW10195417-Lower-Dishrack-Wheel-Assembly.htm?SourceCode=18
Lower Spray Arm 5304517203,40.84,PS12585623,Frigidaire,5304517203,"Lower Spray Arm Specifications
The Lower Spray Arm is used in your dishwasher to spray water and clean your dishes. If broken there will be visible damage or your dishes may no longer be cleaned properly. If your spray arm is broken (due to general wear or high heat), it should be replaced. Your lower spray arm will be located at the bottom of your dishwasher tub. Check your user manual and model number to ensure this model is right for you. This version is plastic and metal and comes in gray/blue. We recommend you wear work gloves to keep your hands safe when installing and disconnect power to the appliance. You will also want to make sure that you turn off the water supply to your dishwasher. From here, you will want to open the dishwasher, pull out the lower rack and set it aside. Remove the lower wash arm. On each side of the bottom of the spray arm, there are small locking tabs that can be pushed aside using a flathead screwdriver. Once released, the spray arm can easily be pulled off the dishwasher. Put the new lower wash arm in place and push it down to lock it in. Ensure it is spinning freely and does not hit the heating element. Return the lower dish rack into place and then close the dishwasher door.",Really Easy,Less than 15 mins,In Stock,Not cleaning dishes properly; Leaking; Noisy; Not draining; Not drying dishes properly; Will Not Start; Will not fill with water; Will not dispense detergent; Door latch failure; Dishwasher,Dishwasher,154250801; 154250901; 154281101; 154414101; 154414102; 154568001; 154568002; 5304506526,https://www.partselect.com/PS12585623-Frigidaire-5304517203-Lower-Spray-Arm.htm?SourceCode=18
LOWER SPRAY ARM WD22X33499,25.88,PS17137081,GE,WD22X33499,"LOWER SPRAY ARM Specifications
Please be informed that this OEM-verified part that DOES NOT come with the heatshield, as per GE directly and are no longer required. This lower spray arm assembly is an essential component of your dishwasher, responsible for distributing water and detergent evenly during the wash cycle. Positioned at the bottom of the appliance, it spins to spray water in multiple directions, ensuring thorough cleaning of all dishes. A damaged spray arm can lead to poor cleaning results, leftover food residue, and even unpleasant odors. Common signs of failure include knocking sounds, wobbling, or restricted rotation. Replacing this part restores proper performance and prevents buildup that can cause bad smells. Installation is simple: release the locking mechanism, lift out the old arm, and secure the new one in place.",Very Easy,15 - 30 mins,In Stock,Not cleaning dishes properly; Noisy; Leaking; Not drying dishes properly; Not draining; Dishwasher,Dishwasher,WD22X10091; WD22X25962; WD22X26621; WD22X27724,https://www.partselect.com/PS17137081-GE-WD22X33499-LOWER-SPRAY-ARM.htm?SourceCode=18
Dishwasher Lower Rack Roller WD12X26146,12.91,PS16217024,GE,WD12X26146,"Dishwasher Lower Rack Roller Specifications
This lower rack roller is a genuine replacement component designed to support the smooth and stable movement of the dishwasher’s bottom rack. Measuring approximately 1.5 inches in diameter and finished in charcoal gray, it ensures consistent rack alignment and ease of use during loading and unloading. For optimal performance, it is recommended to replace all four rollers simultaneously. Installation is straightforward and requires no special tools, though wearing protective gloves is advised. Sold individually.",Very Easy,15 - 30 mins,In Stock,,Dishwasher,WD12X10435,https://www.partselect.com/PS16217024-GE-WD12X26146-Dishwasher-Lower-Rack-Roller.htm?SourceCode=18
Dishwasher Heating Element W10518394,43.95,PS8260087,Whirlpool,W10518394,"Dishwasher Heating Element Specifications
This manufacturer-certified heating element is used to create heat during the dry cycle and increase water temperature during portions of the wash cycle when certain options are selected. If your dishes are not drying or the water in the dishwasher is not getting hot you may need to replace the element. This kit includes the heater, two heater fasteners, and is a genuine OEM part. Please remember to disconnect the power before starting the repair. Use a multi-meter to test your heating element for continuity to determine whether this is the part that is causing your symptom. This part does not include any washers. To make your repair, disconnect the wires from the bottom of the element in the back, remove the plastic nuts holding it in place, remove the element, and repeat these steps in reverse order to install your new part. This is an easy repair that requires only a screwdriver, wrench set, and should take less than 30 minutes.",Easy,30 - 60 mins,In Stock,Not drying dishes properly; Not cleaning dishes properly; Will Not Start; Leaking; Not draining; Dishwasher,Dishwasher,AP5690151; 2977737; W10518394; 8194250; 8563007; 8563464; 8572861; W10134009; W10441445; W10518394VP,https://www.partselect.com/PS8260087-Whirlpool-W10518394-Dishwasher-Heating-Element.htm?SourceCode=18
Dishwasher Bottom Door Gasket 809006501,37.84,PS9495545,Frigidaire,809006501,"Dishwasher Bottom Door Gasket Specifications
This dishwasher door gasket (Bottom Gasket, Gasket, Door Seal, Dishwasher Door Lower Seal) helps prevent water from leaking out of the bottom edge of your dishwasher door by creating a watertight seal. This part is attached to the bottom of your dishwasher inner door panel. It is frequently exposed to water and detergent during its lifetime. The water and chemicals can eventually wear down the gasket and compromise the integrity of the seal. If the gasket is malfunctioning, the integrity of the door seal will be effected. You will notice leaking through the bottom of your dishwasher door. If your dishwasher is leaking water from the bottom of the door, first inspect the seal for food particles near the bottom and sides, and remove the buildup, as it can stop the door from closing properly and keeping a tight seal; if not, you may need to replace the bottom door gasket. Check the door gasket for tears, cuts, or wear. This part is sold individually and measures 22.5 inches by 1.25 inches. It is constructed of plastic, and comes in yellow/grey. Includes one lower door gasket.",Easy,15 - 30 mins,In Stock,Leaking; Not cleaning dishes properly; Door won’t close; Door latch failure; Dishwasher,Dishwasher,AP5809675; 154297601; 154297602; 154297603; 154576501; 154588201; 154759101,https://www.partselect.com/PS9495545-Frigidaire-809006501-Dishwasher-Bottom-Door-Gasket.htm?SourceCode=18
