part_name,part_price,partselect_number,brand,manufacturer_part_number,description,install_difficulty,install_time,availability,symptoms,product_types,replaceable_models,product_url
Refrigerator Door Shelf Bin 242126602,47.82,PS12364199,Frigidaire,242126602,"Refrigerator Door Shelf Bin Specifications
This manufacturer-certified Refrigerator Door Shelf Bin, also known as a crisper bin or door shelf bin, is made of clear plastic, and is easy to install. It is used to hold items in the fridge, like jars, cans, and condiments and you'll be able to visually see if the part is broken or cracked. This particular shelf attaches to the fridge door. You can check if this model is right for your appliance by checking your user manual and model number. This part should simply snap into place without the need for any tools as part of the repair. Just carefully line up the slots on the door with the slots on the bin and slide the bin down to completely lock it into place. The part is sold individually, and fits many different types of side-by-side refrigerators.",Really Easy,15 - 30 mins,In Stock,,Refrigerator,AP6278233,https://www.partselect.com/PS12364199-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18
Refrigerator Door Shelf Bin WPW10321304,44.95,PS11752778,Whirlpool,WPW10321304,"Refrigerator Door Shelf Bin Specifications
This refrigerator door bin is a genuine OEM replacement designed to fit many side-by-side refrigerator models. Compatible with brands like KitchenAid, Maytag, and Amana, it attaches to the interior door, providing storage for jars and bottles. Featuring a clear design with white trim, this bin is both durable and functional. Installation is tool-free—simply align and snap into place. Verify your refrigerator’s model number before ordering to ensure compatibility, as dimensions may vary slightly. Restore your refrigerator's storage capacity and organization with this high-quality replacement door bin.",Really Easy,Less than 15 mins,In Stock,Door won't open or close; Ice maker won't dispense ice; Leaking; Refrigerator,Refrigerator,AP6019471; 2171046; 2171047; 2179574; 2179575; 2179607; 2179607K; 2198449; 2198449K; 2304235; 2304235K; W10321302; W10321303; W10321304; W10549739; WPW10321304VP,https://www.partselect.com/PS11752778-Whirlpool-WPW10321304-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18
Refrigerator Ice and Water Filter EDR1RXD1,83.89,PS11701542,Whirlpool,EDR1RXD1,"Refrigerator Ice and Water Filter Specifications
The EDR1RXD1 water filter provides clean, fresh-tasting water by reducing contaminants such as lead, chlorine, and particulates. Designed for easy installation, this filter ensures your refrigerator water and ice are safe and refreshing with every use",Really Easy,15 - 30 mins,In Stock,Not dispensing water; Ice maker not making ice; Ice maker won’t dispense ice; Leaking; Ice maker dispenses too little ice; Refrigerator,Refrigerator,AP5982535; 9900; 9981; FILTER 1; FILTER1; W10217316; W10291030; W10295370; W10295370A; W10569758; W10569760; W10569761; W10735398,https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=18
Door Shelf Retainer Bar 240534901,41.83,PS734935,Frigidaire,240534901,"Door Shelf Retainer Bar Specifications
This door shelf retaining bar, also known as refrigerator door bar retainer or fridge door rack, is a genuine part sourced from the original manufacturer. It is a white This manufacturer-certified Door Shelf Retainer Bar, sometimes otherwise known as the door rack or bar retainer, is a white, plastic part which can be easily installed onto the inside of the refrigerator or freezer door to hold items on the door shelves. It holds items in your fridge and will show physical damage if broken or warped, at which time it should be replaced. Check your user manual and model number to see if this part is right for you. No tools are required for this installation, the part should simply snap into place. This part measures roughly 25 inches wide, 3 inches high, and 5 inches deep. This part is sold individually, and we recommend checking the other door shelf retaining bars on your refrigerator or freezer at the same time as ordering this part to ensure that no others need to be replaced, as they often wear or warp at similar speeds.",Really Easy,Less than 15 mins,In Stock,Door won't open or close; Leaking; Refrigerator,Refrigerator,AP3214630; 948954; 240534901; 240534901,https://www.partselect.com/PS734935-Frigidaire-240534901-Door-Shelf-Retainer-Bar.htm?SourceCode=18
Door Shelf Retainer Bar 240534701,19.94,PS734936,Frigidaire,240534701,"Door Shelf Retainer Bar Specifications
The Door Shelf Retainer Bar, also known as a refrigerator door rack, is a white, plastic part which can be easily installed onto your fridge door. It holds items in your fridge and will show physical damage if broken, at which time it should be replaced. Check your user manual and model number to see if this part is right for you. To install this part, you will need to remove the old one by unlocking the tabs, which can be slid with your fingers. To install the new shelf, line it up with the shelf cut-outs, over the tabs, and gently press it down to lock it into place. This part generally fits the middle door shelf of refrigerators. This is a part that frequently requires multiple parts per refrigerator. Because it is sold individually, you will need to purchase as many door racks as necessary to complete your repair.",Really Easy,Less than 15 mins,In Stock,Door won't open or close; Refrigerator,Refrigerator,AP3214631; 948952; 240534701,https://www.partselect.com/PS734936-Frigidaire-240534701-Door-Shelf-Retainer-Bar.htm?SourceCode=18
Refrigerator Crisper Drawer with Humidity Control WP2188656,85.84,PS11739119,Whirlpool,WP2188656,"Refrigerator Crisper Drawer with Humidity Control Specifications
The crisper drawer (Crisper Pan, Refrigerator Crisper Drawer) with humidity control is meant to keep your vegetables and fruit as fresh as possible by allowing you to regulate the humidity levels within the drawer. It attaches on the inside of your refrigerator to the bottom of the crisper shelf. This drawer can break from misuse or accidental damage. It is also subject to material fatigue over time. If broken or damaged, it may be difficult to slide the drawer in and out, and it should be replaced. This plastic drawer measures 14.92 inches long, 7.6 inches high, and 16.5 inches wide and comes in white/clear.",Easy,Less than 15 mins,In Stock,Door won't open or close; Ice maker not making ice; Leaking; Ice maker won't dispense ice; Touchpad does not respond; Door Sweating; Clicking sound; Refrigerator,Refrigerator,AP6006055; 2173384; 2173386; 2173694; 2173714; 2173715; 2174109; 2174416; 2175075; 2179281; 2179347; 2188652; 2188656; 2189529; 2189629; 2194072; 2194078; 2194081; 2194087; 2194904 ... Show more,https://www.partselect.com/PS11739119-Whirlpool-WP2188656-Refrigerator-Crisper-Drawer-with-Humidity-Control.htm?SourceCode=18
Refrigerator Door Shelf Retainer Bin 240337901,51.8,PS429868,Frigidaire,240337901,"Refrigerator Door Shelf Retainer Bin Specifications
This refrigerator door shelf attaches to the inside of the refrigerator door, typically holds jars and bottles, The manufacturer-approved Refrigerator Door Shelf Retainer Bar, sometimes known as the door rack or bar retainer, is a white, plastic part which can be easily installed onto your fridge door. Just snap the old part up and out of place, and push to snap the new part in its place. This part holds items in your fridge like jars and bottles and will show physical damage if broken, at which time it should be replaced. Check your user manual and model number to see if this part is right for you, as there are likely to be several different sizes and part numbers for the various different door racks in your fridge. You want to make sure you've selected the right one! This part is 24.25 inches wide and 3.75 inches deep and features open square latches. This part is sold individually.",Really Easy,Less than 15 mins,In Stock,Door won't open or close; Noisy; Touchpad does not respond; Refrigerator,Refrigerator,AP2115858; 891047; 240337901; 240337904; 240337905,https://www.partselect.com/PS429868-Frigidaire-240337901-Refrigerator-Door-Shelf-Retainer-Bin.htm?SourceCode=18
Refrigerator Door Shelf Bin - White WP2187172,40.84,PS11739091,Whirlpool,WP2187172,"Refrigerator Door Shelf Bin - White Specifications
The white refrigerator door bin is an essential component for maximizing the storage capacity of your appliance. Measuring approximately 16.25"" wide, 3.25"" high, and 6.25"" deep, it securely holds jars, bottles, and other items in an accessible location on the refrigerator door. This bin is made from sturdy materials to withstand daily use and is designed to fit seamlessly into compatible refrigerator models. Installation is straightforward—simply follow the instructions provided in your owner’s manual. Confirm compatibility by matching the bin’s dimensions to your appliance before purchasing.",Really Easy,15 - 30 mins,In Stock,Leaking; Door won't open or close; Ice maker not making ice; Refrigerator,Refrigerator,AP6006028; 2187172; 2187172K; 2187194; 2187194K; WP2187172VP,https://www.partselect.com/PS11739091-Whirlpool-WP2187172-Refrigerator-Door-Shelf-Bin-White.htm?SourceCode=18
Crisper Cover Support - Front 241993101,11.92,PS2358880,Frigidaire,241993101,"Crisper Cover Support - Front Specifications
This crisper cover front support is used to keep the crisper shelf in place and may need replacing if the door will not open or close. This white, OEM part measures roughly 1 inch in diameter and can be used for the front and the rear support, as designed by the manufacturer, and mounts to the inside cabinet wall. Replacing this part is an easy repair, and will require a small flat blade screwdriver, a putty knife, and a soft hammer. Remove the crisper and shelf from the refrigerator before replacing the support. The crisper cover front support is held in place with a locking pin. To remove the old part, you will first need to push the pin into the interior of the cabinet using the screwdriver, and then you can pull the support out with a putty knife. If you cannot get the pin out you can use a flat-blade screwdriver to push it down and out of sight and it will not harm anything in your refrigerator After removing the pin and attaching the new support, simply use the soft hammer to lock the new pin in place.",Really Easy,15 - 30 mins,In Stock,Door won't open or close; Refrigerator,Refrigerator,AP4427109; 1513082; 240423701; 7241993101,https://www.partselect.com/PS2358880-Frigidaire-241993101-Crisper-Cover-Support-Front.htm?SourceCode=18
Refrigerator Center Crisper Drawer Slide Rail - White WPW10671238,52.31,PS11757048,Whirlpool,WPW10671238,"Refrigerator Center Crisper Drawer Slide Rail - White Specifications
This is a center crisper rail for your refrigerator. This part acts as a support rail for the crisper drawer by holding the center of the crisper frame. You will need to replace this part is if your current drawer is not opening or closing properly. This crisper rail is white and it is made entirely of plastic. It is roughly 13.5 inches long, and 2.5 inches wide. This is an easy repair which requires no tools.",Really Easy,Less than 15 mins,In Stock,Door won't open or close; Noisy; Leaking; Fridge too cold; Fridge and Freezer are too warm; Ice maker not making ice; Door Sweating; Refrigerator,Refrigerator,AP6023702; 12530701; 12530701N; 14217493; 67001057; 8208354; 97001057; W10671238; W10671238N,https://www.partselect.com/PS11757048-Whirlpool-WPW10671238-Refrigerator-Center-Crisper-Drawer-Slide-Rail-White.htm?SourceCode=18
