partselect_number,model_number,brand,description,model_url
PS12364199,CRSE263TB0,Frigidaire,Refrigerator,https://www.partselect.com/Models/CRSE263TB0/
PS12364199,CRSE263TD0,Frigidaire,Refrigerator,https://www.partselect.com/Models/CRSE263TD0/
PS12364199,CRSE263TS0,Frigidaire,Refrigerator,https://www.partselect.com/Models/CRSE263TS0/
PS12364199,CRSE263TW0,Frigidaire,Refrigerator,https://www.partselect.com/Models/CRSE263TW0/
PS12364199,DGHX2655TF0,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TF0/
PS12364199,DGHX2655TF5,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TF5/
PS12364199,DGHX2655TF6,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TF6/
PS12364199,DGHX2655TF8,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TF8/
PS12364199,DGHX2655TF9,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TF9/
PS12364199,DGHX2655TFA,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TFA/
PS12364199,DGHX2655TFB,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TFB/
PS12364199,DGHX2655TFC,Frigidaire,Refrigerator,https://www.partselect.com/Models/DGHX2655TFC/
PS12364199,FFSS2615TD0,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TD0/
PS12364199,FFSS2615TD1,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TD1/
PS12364199,FFSS2615TD2,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TD2/
PS12364199,FFSS2615TD3,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TD3/
PS12364199,FFSS2615TD4,Frigidaire,Refrigerator - Side-By-Side Refrigerator,https://www.partselect.com/Models/FFSS2615TD4/
PS12364199,FFSS2615TE0,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TE0/
PS12364199,FFSS2615TE1,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TE1/
PS12364199,FFSS2615TE2,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TE2/
PS12364199,FFSS2615TE3,Frigidaire,Refrigerator,https://www.partselect.com/Models/FFSS2615TE3/
PS12364199,FFSS2615TE4,Frigidaire,Refrigerator - Side-By-Side Refrigerator,https://www.partselect.com/Models/FFSS2615TE4/
